1	4265984	1	4265992	4264041
2	4265984	1	4266037	4293268
3	4265984	2	4266062	4264321
4	4263941	5	4269986	4264276
5	4263941	5	4269995	4264211
6	4263951	7	4264914	4293308
7	4263951	7	4264925	4264266
8	4263951	7	4264939	4293316
9	4263951	7	4264950	4264266
10	4263951	7	4264975	4264266
11	4263966	15	4273355	4293100
12	4263966	15	4273368	4264161
13	4263966	15	4273378	4293080
14	4263966	15	4273389	4293128
15	4263966	16	4273406	4264161
16	4263966	17	4273419	4293028
17	4263966	17	4273426	4293032
18	4268144	19	4268252	4293112
19	4270640	24	4270707	4293060
20	4270640	24	4270728	4293064
21	4270640	24	4270740	4293068
22	4270640	24	4270752	4293072
23	4270640	24	4270768	4293076
24	4271632	41	4271669	4293040
25	4271632	43	4271698	4293044
26	4271632	55	4271812	4272528
27	4271632	58	4271846	4293088
28	4271632	75	4272134	4293048
29	4271632	75	4272141	4293052
30	4271632	84	4272276	4293048
31	4271632	84	4272283	4293056
32	4264041	90	4270583	4264191
33	4271216	91	4271285	4264166
34	4271216	93	4271336	4264131
35	4264056	98	4266099	4264016
36	4264056	98	4266104	4266128
37	4264061	100	4271613	4264346
38	4267136	101	4267226	4293112
39	4267312	107	4267349	4267424
40	4267312	109	4267382	4267424
41	4266128	110	4266193	4264196
42	4266128	111	4266222	4293116
43	4266128	114	4266259	4293120
44	4266128	116	4266278	4264321
45	4266128	118	4266317	4264396
46	4266128	123	4266382	4264101
47	4266128	125	4266428	4293240
48	4266128	128	4266456	4293124
49	4266128	130	4266476	4264311
50	4266128	131	4266494	4289976
51	4266128	132	4266502	4293244
52	4266128	132	4266545	4263951
53	4266128	133	4266573	4293252
54	4266128	135	4266588	4293256
55	4270240	141	4270294	4293312
56	4270240	142	4270316	4293200
57	4270240	143	4270332	4264066
58	4270240	143	4270354	4293312
59	4270240	143	4270372	4293312
60	4270240	143	4270396	4293280
61	4270240	143	4270406	4264386
62	4270240	143	4270421	4293280
63	4270240	143	4270439	4293280
64	4270240	143	4270460	4270467
65	4264126	149	4265770	4264301
66	4269088	155	4269153	4288908
67	4264141	169	4265722	4264301
68	4264141	169	4265728	4264186
69	4264146	189	4268599	4267424
70	4264146	190	4268614	4263966
71	4269792	198	4269875	4264086
72	4265184	206	4265204	4264361
73	4264211	230	4270063	4264291
74	4264226	240	4269928	4293080
75	4265792	244	4265795	4266880
76	4265792	244	4265807	4293276
77	4265792	244	4265818	4293280
78	4265792	244	4265842	4293284
79	4265792	244	4265856	4293288
80	4265792	244	4265883	4264271
81	4265792	244	4265888	4264236
82	4265792	245	4265907	4293296
83	4265792	246	4265916	4263941
84	4265792	247	4265932	4293300
85	4270467	260	4270469	4264246
86	4272528	263	4272563	4263966
87	4272528	264	4272595	4293084
88	4272528	265	4272610	4293084
89	4272528	266	4272624	4263966
90	4272528	267	4272646	4293088
91	4272528	268	4272665	4263966
92	4272528	269	4272681	4293088
93	4272528	270	4272695	4293088
94	4272528	274	4272787	4293036
95	4272528	275	4272803	4263966
96	4272528	276	4272861	4293036
97	4272528	282	4272949	4293084
98	4272528	283	4272963	4263966
99	4267424	287	4267469	4263991
100	4267424	288	4267484	4264401
101	4267424	289	4267518	4293096
102	4267424	290	4267551	4293096
103	4267424	293	4267586	4267136
104	4267424	294	4267618	4268144
105	4267424	300	4267661	4293100
106	4267424	301	4267710	4264296
107	4267424	303	4267797	4293104
108	4267424	304	4267831	4293104
109	4267424	306	4267872	4293104
110	4267424	307	4267906	4293104
111	4267424	311	4267966	4293108
112	4267424	312	4267980	4263966
113	4264371	316	4268758	4293084
114	4264371	317	4268778	4293088
115	4264371	319	4268875	4269088
116	4264371	319	4268913	4293092
117	4264371	319	4268927	4288908
118	4264371	319	4268950	4267424
119	4264371	319	4268966	4263966
120	4264371	320	4268984	4267424
121	4264371	321	4269000	4263966
