Title     ArbSeq ArbPar ValSeq ValPar ValFold
Problem4  333540  118290  149471  47806.1  63897.9 
Problem5  1.62085e+06  420823  722112  185481  227485 
Problem6  801098  247474  388220  117688  149851 
