Title     FrontEnd ASTT_ICFG_Maps StatBin LTL1 LTL2 
Problem7 52991.1  121421  362343  333291 0
Problem8 110135  885514  1.55525e+06  534798 0
Problem9 118476  835401  744131  287104 0
