4267149	32	pop	0	
4267150	32	retn	1	
4267151	33	mov	0	
4267157	33	push	1	
4267158	33	mov	2	
4267163	33	push	3	
4267164	33	mov	4	
4267167	33	mov	5	
4267172	33	push	6	
4267173	33	push	7	
4267174	33	call	8	
4267179	33	add	9	
4267182	33	pop	10	
4267183	33	retn	11	
4263991	34	jmp	0	
4270432	35	push	0	
4270433	35	mov	1	
4270435	35	sub	2	
4270438	35	mov	3	
4270445	35	mov	4	
4270452	35	cmp	5	
4270462	35	jz	6	
4270464	36	mov	0	
4270469	36	and	1	
4270474	36	jz	2	
4270476	37	mov	0	
4270482	37	not	1	
4270484	37	mov	2	
4270490	37	jmp	3	
4270495	38	lea	0	
4270498	38	push	1	
4270499	38	call	2	
4270505	38	mov	3	
4270508	38	mov	4	
4270511	38	mov	5	
4270514	38	xor	6	
4270517	38	mov	7	
4270520	38	call	8	
4270526	38	xor	9	
4270529	38	mov	10	
4270532	38	call	11	
4270538	38	xor	12	
4270541	38	mov	13	
4270544	38	call	14	
4270550	38	xor	15	
4270553	38	mov	16	
4270556	38	lea	17	
4270559	38	push	18	
4270560	38	call	19	
4270566	38	mov	20	
4270569	38	xor	21	
4270572	38	mov	22	
4270575	38	mov	23	
4270578	38	xor	24	
4270581	38	mov	25	
4270584	38	cmp	26	
4270591	38	jnz	27	
4270593	39	mov	0	
4270600	39	jmp	1	
4270602	40	mov	0	
4270605	40	and	1	
4270611	40	jnz	2	
4270613	41	mov	0	
4270616	41	shl	1	
4270619	41	or	2	
4270622	41	mov	3	
4270625	42	mov	0	
4270628	42	mov	1	
4270634	42	mov	2	
4270637	42	not	3	
4270639	42	mov	4	
4270645	43	mov	0	
4270647	43	pop	1	
4270648	43	retn	2	
4265552	44	push	0	
4265554	44	push	1	
4265556	44	push	2	
4265558	44	push	3	
4265560	44	push	4	
4265562	44	call	5	
4265567	44	add	6	
4265570	44	retn	7	
4268128	45	push	0	
4268129	45	mov	1	
4268131	45	sub	2	
4268137	45	mov	3	
4268142	45	xor	4	
4268144	45	mov	5	
4268147	45	cmp	6	
4268154	45	mov	7	
4268157	45	mov	8	
4268163	45	mov	9	
4268166	45	jz	10	
4268172	46	cmp	0	
4268175	46	push	1	
4268176	46	push	2	
4268177	46	jz	3	
4268183	47	mov	0	
4268185	47	lea	1	
4268188	47	lea	2	
4268192	48	mov	0	
4268194	48	add	1	
4268197	48	test	2	
4268199	48	jnz	3	
4268201	49	sub	0	
4268203	49	add	1	
4268206	49	cmp	2	
4268212	49	ja	3	
4268218	50	lea	0	
4268224	50	xor	1	
4268226	50	jmp	2	
4268240	51	mov	0	
4268246	51	mov	1	
4268253	51	add	2	
4268256	51	test	3	
4268258	51	jnz	4	
4268260	52	mov	0	
4268262	53	mov	0	
4268264	53	add	1	
4268267	53	test	2	
4268269	53	jnz	3	
4268271	54	push	0	
4268272	54	lea	1	
4268278	54	sub	2	
4268280	54	add	3	
4268283	54	jmp	4	
4268288	55	mov	0	
4268291	55	add	1	
4268294	55	test	2	
4268296	55	jnz	3	
4268298	56	mov	0	
4268300	56	shr	1	
4268303	56	mov	2	
4268305	56	rep movs	3	
4268307	56	mov	4	
4268309	56	and	5	
