1	2
1	1
2	2
2	1
3	3
3	1
4	3
4	1
5	4
5	1
6	6
6	5
6	1
7	7
7	5
7	1
8	8
8	5
8	1
9	11
9	10
9	9
9	1
10	12
10	10
10	9
10	1
11	2
11	1
12	2
12	1
13	13
13	1
14	14
14	1
15	3
15	1
16	3
16	1
17	15
17	1
18	16
18	1
19	3
19	1
20	17
20	1
21	18
21	1
22	19
22	1
23	14
23	1
24	13
24	1
25	20
25	1
26	21
26	5
26	1
27	2
27	1
28	2
28	1
29	3
29	1
30	22
30	1
31	13
31	1
32	23
32	1
33	3
33	1
34	24
34	1
35	25
35	5
35	1
36	23
36	1
37	23
37	1
38	26
38	1
39	27
39	5
39	1
40	16
40	1
41	29
41	30
41	28
41	10
41	9
41	1
42	17
42	1
43	29
43	30
43	28
43	10
43	9
43	1
44	34
44	35
44	33
44	32
44	31
44	1
45	16
45	1
46	16
46	1
47	17
47	1
48	13
48	1
49	13
49	1
50	16
50	1
51	37
51	36
52	13
52	1
53	16
53	1
54	39
54	38
54	36
55	22
55	1
56	17
56	1
57	13
57	1
58	13
58	1
59	40
59	42
59	43
59	41
59	28
59	10
59	9
59	1
60	14
60	1
61	34
61	44
61	33
61	32
61	31
61	1
62	14
62	1
63	22
63	1
64	13
64	1
65	14
65	1
66	37
66	36
67	13
67	1
68	14
68	1
69	17
69	1
70	22
70	1
71	45
71	38
71	36
72	3
72	1
73	24
73	1
74	23
74	1
75	13
75	1
76	22
76	1
77	2
77	1
78	2
78	1
79	3
79	1
80	23
80	1
81	46
81	5
81	1
82	23
82	1
83	23
83	1
84	47
84	1
85	17
85	1
86	16
86	1
87	29
87	48
87	28
87	10
87	9
87	1
88	16
88	1
89	16
89	1
90	49
90	38
90	36
91	16
91	1
92	16
92	1
93	23
93	1
94	2
94	1
95	2
95	1
96	3
96	1
97	23
97	1
98	23
98	1
99	50
99	1
100	3
100	1
101	51
101	1
102	16
102	1
103	52
103	10
103	9
103	1
104	16
104	1
105	53
105	1
106	54
106	38
106	36
107	13
107	1
108	55
108	56
108	28
108	10
108	9
108	1
109	22
109	1
110	57
110	56
110	28
110	10
110	9
110	1
111	23
111	1
112	51
112	1
113	16
113	1
114	16
114	1
115	58
115	10
115	9
115	1
116	16
116	1
117	53
117	1
118	59
118	38
118	36
119	16
119	1
120	23
120	1
121	2
121	1
122	2
122	1
123	2
123	1
124	3
124	1
125	3
125	1
126	4
126	1
127	16
127	1
128	60
128	10
128	9
128	1
129	16
129	1
130	16
130	1
131	61
131	38
131	36
132	16
132	1
133	62
133	1
134	16
134	1
135	16
135	1
136	63
136	38
136	36
137	64
137	33
137	32
137	31
137	1
138	65
138	1
139	16
139	1
140	2
140	1
141	2
141	1
142	3
142	1
143	3
143	1
144	4
144	1
145	68
145	67
145	66
145	36
146	69
146	36
147	70
147	38
147	36
148	71
148	38
148	36
149	16
149	1
150	51
150	1
151	72
151	10
151	9
151	1
152	16
152	1
153	17
153	1
154	16
154	1
155	73
155	10
155	9
155	1
156	17
156	1
157	74
157	10
157	9
157	1
158	17
158	1
159	17
159	1
160	75
160	38
160	36
161	76
161	67
161	66
161	36
162	77
162	36
163	2
163	1
164	2
164	1
165	3
165	1
166	22
166	1
167	13
167	1
168	23
168	1
169	78
169	5
169	1
170	23
170	1
171	23
171	1
172	79
172	1
173	16
173	1
174	29
174	30
174	28
174	10
174	9
174	1
175	22
175	1
176	29
176	30
176	28
176	10
176	9
176	1
177	16
177	1
178	22
178	1
179	16
179	1
180	37
180	36
181	3
181	1
182	24
182	1
183	13
183	1
184	80
184	81
184	28
184	10
184	9
184	1
185	82
185	38
185	36
186	57
186	42
186	43
186	41
186	28
186	10
186	9
186	1
187	13
187	1
188	13
188	1
189	53
189	1
190	83
190	38
190	36
191	84
191	5
191	1
192	3
192	1
193	24
193	1
194	23
194	1
195	13
195	1
196	22
196	1
197	14
197	1
198	64
198	85
198	33
198	32
198	31
198	1
199	3
199	1
200	15
200	1
201	86
201	48
201	28
201	10
201	9
201	1
202	2
202	1
203	2
203	1
204	3
204	1
205	14
205	1
206	3
206	1
207	87
207	1
208	64
208	33
208	32
208	31
208	1
209	88
209	1
210	89
210	5
210	1
211	34
211	90
211	33
211	32
211	31
211	1
212	16
212	1
213	34
213	91
213	33
213	32
213	31
213	1
214	62
214	1
215	34
215	91
215	33
215	32
215	31
215	1
216	62
216	1
217	92
217	38
217	36
218	16
218	1
219	34
219	91
219	33
219	32
219	31
219	1
220	16
220	1
221	37
221	36
222	16
222	1
223	34
223	90
223	33
223	32
223	31
223	1
224	74
224	10
224	9
224	1
225	93
225	1
226	34
226	91
226	33
226	32
226	31
226	1
227	34
227	91
227	33
227	32
227	31
227	1
228	94
228	1
229	95
229	38
229	36
230	16
230	1
231	34
231	90
231	33
231	32
231	31
231	1
232	16
232	1
233	96
233	1
234	16
234	1
235	74
235	10
235	9
235	1
236	34
236	97
236	33
236	32
236	31
236	1
237	16
237	1
238	3
238	1
239	87
239	1
240	14
240	1
241	2
241	1
242	3
242	1
243	86
243	48
243	28
243	10
243	9
243	1
244	2
244	1
245	2
245	1
246	3
246	1
247	23
247	1
248	98
248	5
248	1
249	23
249	1
250	23
250	1
251	99
251	1
252	16
252	1
253	100
253	5
253	1
254	14
254	1
255	23
255	1
