1	4	b4	NULL	0	null
2	1	ebp	NULL	0	1
3	1	esp	NULL	0	1
4	2	NULL	8	0	1
5	4	cs	NULL	0	1
6	2	NULL	134513380	0	5
7	2	NULL	134513472	0	5
8	2	NULL	134513760	0	5
9	4	ds	NULL	0	1
10	4	[	NULL	0	9
11	2	NULL	134518184	0	10
12	2	NULL	134518188	0	10
13	1	esi	NULL	0	1
14	1	ecx	NULL	0	1
15	2	NULL	4294967280	0	1
16	1	eax	NULL	0	1
17	1	edx	NULL	0	1
18	2	NULL	134513684	0	1
19	2	NULL	134513600	0	1
20	2	NULL	134513508	0	1
21	2	NULL	134513328	0	5
22	1	edi	NULL	0	1
23	1	ebx	NULL	0	1
24	2	NULL	12	0	1
25	2	NULL	134513614	0	5
26	2	NULL	4558	0	1
27	2	NULL	134513272	0	5
28	4	+	NULL	0	10
29	1	ebx	NULL	0	28
30	2	NULL	-224	0	28
31	4	ss	NULL	0	1
32	4	[	NULL	0	31
33	4	+	NULL	0	32
34	1	ebp	NULL	0	33
35	2	NULL	-16	0	33
36	4	b1	NULL	0	null
37	2	NULL	2	0	36
38	4	cs	NULL	0	36
39	2	NULL	134513674	0	38
40	1	edx	NULL	0	28
41	4	*	NULL	0	28
42	1	esi	NULL	0	41
43	2	NULL	4	0	41
44	2	NULL	-16	0	33
45	2	NULL	134513656	0	38
46	2	NULL	134513389	0	5
47	2	NULL	4783	0	1
48	2	NULL	-4	0	28
49	2	NULL	134513409	0	38
50	2	NULL	134517948	0	1
51	2	NULL	4	0	1
52	2	NULL	134517948	0	10
53	2	NULL	4294967295	0	1
54	2	NULL	134513804	0	38
55	1	esi	NULL	0	28
56	2	NULL	0	0	28
57	1	edi	NULL	0	28
58	1	ebx	NULL	0	10
59	2	NULL	134513792	0	38
60	2	NULL	134517964	0	10
61	2	NULL	134513505	0	38
62	2	NULL	0	0	1
63	2	NULL	134513505	0	38
64	1	esp	NULL	0	33
65	2	NULL	134517964	0	1
66	4	ds	NULL	0	36
67	4	[	NULL	0	66
68	2	NULL	134518204	0	67
69	2	NULL	0	0	36
70	2	NULL	134513451	0	38
71	2	NULL	134513469	0	38
72	2	NULL	134518200	0	10
73	2	NULL	134518200	0	10
74	1	eax	NULL	0	10
75	2	NULL	134513441	0	38
76	2	NULL	134518204	0	67
77	2	NULL	1	0	36
78	2	NULL	134513695	0	5
79	2	NULL	4477	0	1
80	1	eax	NULL	0	28
81	2	NULL	-1	0	28
82	2	NULL	134513732	0	38
83	2	NULL	134513728	0	38
84	2	NULL	134513812	0	5
85	2	NULL	4	0	33
86	1	ecx	NULL	0	28
87	2	NULL	20	0	1
88	2	NULL	40	0	1
89	2	NULL	134513312	0	5
90	2	NULL	-16	0	33
91	2	NULL	-12	0	33
92	2	NULL	134513574	0	38
93	2	NULL	5	0	1
94	2	NULL	9	0	1
95	2	NULL	134513556	0	38
96	2	NULL	48	0	1
97	2	NULL	-8	0	33
98	2	NULL	134513821	0	5
99	2	NULL	4351	0	1
100	2	NULL	134513424	0	5
