4270080	1	0
4270081	2	0
4270081	3	1
4270083	4	0
4270085	5	0
4270090	6	0
4270095	7	0
4270095	8	1
4270101	9	0
4270102	10	0
4270102	11	1
4270105	12	0
4270106	13	0
4270107	14	0
4270108	15	0
4270108	16	1
4270113	17	0
4270113	18	1
4270116	19	0
4270116	20	1
4270118	21	0
4270119	22	0
4270119	23	1
4270122	24	0
4270122	25	1
4270128	26	0
4270128	27	1
4270133	28	0
4270134	29	0
4270140	30	0
4270140	31	1
4270143	32	0
4270143	33	1
4270146	34	0
4270146	35	1
4270150	36	0
4270152	37	0
4270152	38	1
4270155	39	0
4270156	40	0
4270162	41	0
4270162	42	1
4270165	43	0
4270170	44	0
4270172	45	0
4270177	46	0
4270177	47	1
4270180	48	0
4270180	49	1
4270187	50	0
4270187	51	1
4270193	52	0
4270194	53	0
4270200	54	0
4270200	55	1
4270203	56	0
4270203	57	1
4270206	58	0
4270206	59	1
4270211	60	0
4270212	61	0
4270218	62	0
4270218	63	1
4270221	64	0
4270221	65	1
4270224	66	0
4270224	67	1
4270227	68	0
4270228	69	0
4270228	70	1
4270231	71	0
4270232	72	0
4270232	73	1
4270235	74	0
4270236	75	0
4270242	76	0
4270242	77	1
4270245	78	0
4270246	79	0
4270251	80	0
4270251	81	1
4270254	82	0
4270254	83	1
4270257	84	0
4270257	85	1
4270260	86	0
4270261	87	0
4270267	88	0
4270267	89	1
4270270	90	0
4270270	91	1
4270275	92	0
4270275	93	1
4270278	94	0
4270279	95	0
4270285	96	0
4270285	97	1
4270288	98	0
4270288	99	1
4270293	100	0
4270293	101	1
4270300	102	0
4270305	103	0
4270318	104	0
4270318	105	1
4270321	106	0
4270321	107	1
4270324	108	0
4270324	109	1
4270331	110	0
4270332	111	0
4270333	112	0
4270334	113	0
4270335	114	0
4270335	115	1
4270337	116	0
4268544	117	0
4268545	118	0
4268545	119	1
4268547	120	0
4268547	121	1
4268553	122	0
4268553	123	1
4268558	124	0
4268558	125	1
4268560	126	0
4268560	127	1
4268563	128	0
4268564	129	0
4268564	130	1
4268570	131	0
4268570	132	1
4268573	133	0
4268574	134	0
4268574	135	1
4268577	136	0
4268578	137	0
4268578	138	1
4268581	139	0
4268581	140	1
4268587	141	0
4268593	142	0
4268598	143	0
4268604	144	0
4268604	145	1
4268606	146	0
4268612	147	0
4268617	148	0
